10,4875,0.04
20,85500,0.04
30,445875,0.044
40,1430000,0.049
50,3521875,0.08
60,7345500,0.07
70,13664875,0.074
80,23384000,0.093
90,37546875,0.102
100,57337500,0.126
200,925350000,0.766
300,4698037500,1.222
400,14869400000,1.953
500,36333437500,2.958
600,75384150000,4.152
700,139715537500,5.511
800,238421600000,7.527
900,381996337500,10.031
1000,582333750000,13.043
1500,2949750937500,40.688
2000,9325335000000,84.352
2500,22770835937500,141.846
3000,47223003750000,212.814
3500,87493588437500,297.716
4000,149269340000000,394.918
4500,239112008437500,501.73
5000,364458343750000,622.873
7500,1845281273437500,1371.49
10000,5832333375000000,2911.12
