10,4875,0.041
20,85500,0.038
30,445875,0.046
40,1430000,0.046
50,3521875,0.059
60,7345500,0.063
70,13664875,0.087
80,23384000,0.083
90,37546875,0.124
100,57337500,0.117
200,925350000,0.78
300,4698037500,1.255
400,14869400000,2.009
500,36333437500,2.909
600,75384150000,4.008
700,139715537500,5.386
800,238421600000,6.907
900,381996337500,8.627
1000,582333750000,10.427
1500,2949750937500,25.339
2000,9325335000000,44.286
2500,22770835937500,69.991
3000,47223003750000,102.969
3500,87493588437500,142.339
4000,149269340000000,186.703
4500,239112008437500,242.721
5000,364458343750000,300.71
7500,1845281273437500,631.031
10000,5832333375000000,1145.4
