10,4875,0.0279
20,85500,0.0271
30,445875,0.0215
40,1430000,0.0265
50,3521875,0.0554
60,7345500,0.0333
70,13664875,0.0391
80,23384000,0.0576
90,37546875,0.0563
100,57337500,0.0654
200,925350000,0.4362
300,4698037500,0.6807
400,14869400000,0.7461
500,36333437500,1.1605
600,75384150000,1.4319
700,139715537500,1.8866
800,238421600000,2.6488
900,381996337500,3.0299
1000,582333750000,3.6559
1500,2949750937500,25.0063
2000,9325335000000,45.2328
2500,22770835937500,67.7231
3000,47223003750000,94.4896
3500,87493588437500,128.184
4000,149269340000000,163.018
4500,239112008437500,207.06
5000,364458343750000,238.4
7500,1845281273437500,681.412
10000,5832333375000000,1107.72
