10,4875,0.0234
20,85500,0.0195
30,445875,0.0243
40,1430000,0.0245
50,3521875,0.0247
60,7345500,0.0256
70,13664875,0.0295
80,23384000,0.0343
90,37546875,0.0395
100,57337500,0.0424
200,925350000,0.2858
300,4698037500,0.4562
400,14869400000,0.7086
500,36333437500,1.0129
600,75384150000,1.3865
700,139715537500,2.0016
800,238421600000,2.3609
900,381996337500,2.9418
1000,582333750000,4.0123
1500,2949750937500,11.8888
2000,9325335000000,18.4655
2500,22770835937500,27.7866
3000,47223003750000,40.1542
3500,87493588437500,56.3659
4000,149269340000000,69.9999
4500,239112008437500,81.6523
5000,364458343750000,96.538
7500,1845281273437500,403.524
10000,5832333375000000,551.239
