i,j,k
8,1.00,1591.29
8,1.50,1538.33
8,2.00,1273.53
8,3.00,1302.3
8,3.33,1407.78
8,5.00,1265.73
8,10.0,1205.55
8,20.0,1164.21
8,30.0,1111.36
8,50.0,0
16,1.00,1586.64
16,1.50,1215.6
16,2.00,1092.59
16,3.00,1109.03
16,3.33,1156.03
16,5.00,1076.78
16,10.0,1047.7
16,20.0,0
16,30.0,0
16,50.0,0
